Full Label,Numeric Label,URL,Propagation Vector
0.1LaMnO3,0.1,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1,"0, 0, 0"
0.2Cd2Os2O7,0.2,https://www.cryst.ehu.es/magndata/index.php?this_label=0.2,"0, 0, 0"
0.3Ca3LiOsO6,0.3,https://www.cryst.ehu.es/magndata/index.php?this_label=0.3,"0, 0, 0"
0.4NiCr2O4,0.4,https://www.cryst.ehu.es/magndata/index.php?this_label=0.4,"0, 0, 0"
0.5Cr2S3,0.5,https://www.cryst.ehu.es/magndata/index.php?this_label=0.5,"0, 0, 0"
0.6YMnO3,0.6,https://www.cryst.ehu.es/magndata/index.php?this_label=0.6,"0, 0, 0"
0.7ScMnO3,0.7,https://www.cryst.ehu.es/magndata/index.php?this_label=0.7,"0, 0, 0"
0.8ScMnO3,0.8,https://www.cryst.ehu.es/magndata/index.php?this_label=0.8,"0, 0, 0"
0.9GdB4,0.9,https://www.cryst.ehu.es/magndata/index.php?this_label=0.9,"0, 0, 0"
0.10DyFeO3,0.1,https://www.cryst.ehu.es/magndata/index.php?this_label=0.10,"0, 0, 0"
0.11DyFeO3,0.11,https://www.cryst.ehu.es/magndata/index.php?this_label=0.11,"0, 0, 0"
0.12U3Ru4Al12,0.12,https://www.cryst.ehu.es/magndata/index.php?this_label=0.12,"0, 0, 0"
0.13Ca3Co2-xMnxO6,0.13,https://www.cryst.ehu.es/magndata/index.php?this_label=0.13,"0, 0, 0"
0.14Gd5Ge4,0.14,https://www.cryst.ehu.es/magndata/index.php?this_label=0.14,"0, 0, 0"
0.15MnF2,0.15,https://www.cryst.ehu.es/magndata/index.php?this_label=0.15,"0, 0, 0"
0.16EuTiO3,0.16,https://www.cryst.ehu.es/magndata/index.php?this_label=0.16,"0, 0, 0"
0.17FePO4,0.17,https://www.cryst.ehu.es/magndata/index.php?this_label=0.17,"0, 0, 0"
0.18BaMn2As2,0.18,https://www.cryst.ehu.es/magndata/index.php?this_label=0.18,"0, 0, 0"
0.19MnTiO3,0.19,https://www.cryst.ehu.es/magndata/index.php?this_label=0.19,"0, 0, 0"
0.20MnTe2,0.2,https://www.cryst.ehu.es/magndata/index.php?this_label=0.20,"0, 0, 0"
0.21PbNiO3,0.21,https://www.cryst.ehu.es/magndata/index.php?this_label=0.21,"0, 0, 0"
0.22DyB4,0.22,https://www.cryst.ehu.es/magndata/index.php?this_label=0.22,"0, 0, 0"
0.23Ca3Mn2O7,0.23,https://www.cryst.ehu.es/magndata/index.php?this_label=0.23,"0, 0, 0"
0.24LiMnPO4,0.24,https://www.cryst.ehu.es/magndata/index.php?this_label=0.24,"0, 0, 0"
0.25NaOsO3,0.25,https://www.cryst.ehu.es/magndata/index.php?this_label=0.25,"0, 0, 0"
0.26TmAgGe,0.26,https://www.cryst.ehu.es/magndata/index.php?this_label=0.26,"0, 0, 0"
0.27YFe4Ge2,0.27,https://www.cryst.ehu.es/magndata/index.php?this_label=0.27,"0, 0, 0"
0.28LiFeSi2O6,0.28,https://www.cryst.ehu.es/magndata/index.php?this_label=0.28,"0, 0, 0"
0.29Er2Ti2O7,0.29,https://www.cryst.ehu.es/magndata/index.php?this_label=0.29,"0, 0, 0"
0.30YbMnO3,0.3,https://www.cryst.ehu.es/magndata/index.php?this_label=0.30,"0, 0, 0"
0.31HoMnO3,0.31,https://www.cryst.ehu.es/magndata/index.php?this_label=0.31,"0, 0, 0"
0.32HoMnO3,0.32,https://www.cryst.ehu.es/magndata/index.php?this_label=0.32,"0, 0, 0"
0.33HoMnO3,0.33,https://www.cryst.ehu.es/magndata/index.php?this_label=0.33,"0, 0, 0"
0.34La0.5Sr0.5FeO2.5F0.5,0.34,https://www.cryst.ehu.es/magndata/index.php?this_label=0.34,"0, 0, 0"
0.35Cu2OSeO3,0.35,https://www.cryst.ehu.es/magndata/index.php?this_label=0.35,"0, 0, 0"
0.36NiF2,0.36,https://www.cryst.ehu.es/magndata/index.php?this_label=0.36,"0, 0, 0"
0.37U3Al2Si3,0.37,https://www.cryst.ehu.es/magndata/index.php?this_label=0.37,"0, 0, 0"
0.38GaFeO3,0.38,https://www.cryst.ehu.es/magndata/index.php?this_label=0.38,"0, 0, 0"
0.39Nd2NaRuO6,0.39,https://www.cryst.ehu.es/magndata/index.php?this_label=0.39,"0, 0, 0"
0.40Mn2O3-alpha,0.4,https://www.cryst.ehu.es/magndata/index.php?this_label=0.40,"0, 0, 0"
0.41Mn2O3-alpha,0.41,https://www.cryst.ehu.es/magndata/index.php?this_label=0.41,"0, 0, 0"
0.42HoMnO3,0.42,https://www.cryst.ehu.es/magndata/index.php?this_label=0.42,"0, 0, 0"
0.43HoMnO3,0.43,https://www.cryst.ehu.es/magndata/index.php?this_label=0.43,"0, 0, 0"
0.44YMnO3,0.44,https://www.cryst.ehu.es/magndata/index.php?this_label=0.44,"0, 0, 0"
0.45La2NiO4,0.45,https://www.cryst.ehu.es/magndata/index.php?this_label=0.45,"0, 0, 0"
0.46CaBaCo4O7,0.46,https://www.cryst.ehu.es/magndata/index.php?this_label=0.46,"0, 0, 0"
0.47Gd2Sn2O7,0.47,https://www.cryst.ehu.es/magndata/index.php?this_label=0.47,"0, 0, 0"
0.48Tb2Sn2O7,0.48,https://www.cryst.ehu.es/magndata/index.php?this_label=0.48,"0, 0, 0"
0.49Ho2Ru2O7,0.49,https://www.cryst.ehu.es/magndata/index.php?this_label=0.49,"0, 0, 0"
0.50MnTiO3,0.5,https://www.cryst.ehu.es/magndata/index.php?this_label=0.50,"0, 0, 0"
0.51Ho2Ru2O7,0.51,https://www.cryst.ehu.es/magndata/index.php?this_label=0.51,"0, 0, 0"
0.52KyFe2-xSe2,0.52,https://www.cryst.ehu.es/magndata/index.php?this_label=0.52,"0, 0, 0"
0.53RbyFe2-xSe2,0.53,https://www.cryst.ehu.es/magndata/index.php?this_label=0.53,"0, 0, 0"
0.54RbyFe2-xSe2,0.54,https://www.cryst.ehu.es/magndata/index.php?this_label=0.54,"0, 0, 0"
0.55KyFe2-xSe2,0.55,https://www.cryst.ehu.es/magndata/index.php?this_label=0.55,"0, 0, 0"
0.56Ba2CoGe2O7,0.56,https://www.cryst.ehu.es/magndata/index.php?this_label=0.56,"0, 0, 0"
0.57ScFeO3,0.57,https://www.cryst.ehu.es/magndata/index.php?this_label=0.57,"0, 0, 0"
0.58CoAl2O4,0.58,https://www.cryst.ehu.es/magndata/index.php?this_label=0.58,"0, 0, 0"
0.59Cr2O3,0.59,https://www.cryst.ehu.es/magndata/index.php?this_label=0.59,"0, 0, 0"
0.60[NH2(CH3)2]n[FeIIIFeII(HCOO)6]n,0.6,https://www.cryst.ehu.es/magndata/index.php?this_label=0.60,"0, 0, 0"
0.61Li2FeP2O7,0.61,https://www.cryst.ehu.es/magndata/index.php?this_label=0.61,"0, 0, 0"
0.62SrMn2V2O8,0.62,https://www.cryst.ehu.es/magndata/index.php?this_label=0.62,"0, 0, 0"
0.63Ho2CrSbO7,0.63,https://www.cryst.ehu.es/magndata/index.php?this_label=0.63,"0, 0, 0"
0.64MnV2O4,0.64,https://www.cryst.ehu.es/magndata/index.php?this_label=0.64,"0, 0, 0"
0.65Fe2O3-alpha,0.65,https://www.cryst.ehu.es/magndata/index.php?this_label=0.65,"0, 0, 0"
0.66Fe2O3-alpha,0.66,https://www.cryst.ehu.es/magndata/index.php?this_label=0.66,"0, 0, 0"
0.67BiFe0.5Sc0.5O3,0.67,https://www.cryst.ehu.es/magndata/index.php?this_label=0.67,"0, 0, 0"
0.68BiFe0.5Sc0.5O3,0.68,https://www.cryst.ehu.es/magndata/index.php?this_label=0.68,"0, 0, 0"
0.69Co4(OH)2(C10H16O4)3,0.69,https://www.cryst.ehu.es/magndata/index.php?this_label=0.69,"0, 0, 0"
0.70Na3Co(CO3)2Cl,0.7,https://www.cryst.ehu.es/magndata/index.php?this_label=0.70,"0, 0, 0"
0.71Li2Ni(SO4)2,0.71,https://www.cryst.ehu.es/magndata/index.php?this_label=0.71,"0, 0, 0"
0.72CaMnBi2,0.72,https://www.cryst.ehu.es/magndata/index.php?this_label=0.72,"0, 0, 0"
0.73SrMnBi2,0.73,https://www.cryst.ehu.es/magndata/index.php?this_label=0.73,"0, 0, 0"
0.74Mn3Cu0.5Ge0.5N,0.74,https://www.cryst.ehu.es/magndata/index.php?this_label=0.74,"0, 0, 0"
0.75Cr2WO6,0.75,https://www.cryst.ehu.es/magndata/index.php?this_label=0.75,"0, 0, 0"
0.76Cr2TeO6,0.76,https://www.cryst.ehu.es/magndata/index.php?this_label=0.76,"0, 0, 0"
0.77Tb2Ti2O7,0.77,https://www.cryst.ehu.es/magndata/index.php?this_label=0.77,"0, 0, 0"
0.78NiN2O6,0.78,https://www.cryst.ehu.es/magndata/index.php?this_label=0.78,"0, 0, 0"
0.79CaIrO3,0.79,https://www.cryst.ehu.es/magndata/index.php?this_label=0.79,"0, 0, 0"
0.80U2Pd2In,0.8,https://www.cryst.ehu.es/magndata/index.php?this_label=0.80,"0, 0, 0"
0.81U2Pd2Sn,0.81,https://www.cryst.ehu.es/magndata/index.php?this_label=0.81,"0, 0, 0"
0.82Gd2CuO4,0.82,https://www.cryst.ehu.es/magndata/index.php?this_label=0.82,"0, 0, 0"
0.83LiFeP2O7,0.83,https://www.cryst.ehu.es/magndata/index.php?this_label=0.83,"0, 0, 0"
0.84Mn2FeMoO6,0.84,https://www.cryst.ehu.es/magndata/index.php?this_label=0.84,"0, 0, 0"
0.85KCo4(PO4)3,0.85,https://www.cryst.ehu.es/magndata/index.php?this_label=0.85,"0, 0, 0"
0.86KMn4(PO4)3,0.86,https://www.cryst.ehu.es/magndata/index.php?this_label=0.86,"0, 0, 0"
0.87NaFePO4,0.87,https://www.cryst.ehu.es/magndata/index.php?this_label=0.87,"0, 0, 0"
0.88LiNiPO4,0.88,https://www.cryst.ehu.es/magndata/index.php?this_label=0.88,"0, 0, 0"
0.89BaMn2Bi2,0.89,https://www.cryst.ehu.es/magndata/index.php?this_label=0.89,"0, 0, 0"
0.90Rb2Fe2O(AsO4)2,0.9,https://www.cryst.ehu.es/magndata/index.php?this_label=0.90,"0, 0, 0"
0.91Rb2Fe2O(AsO4)2,0.91,https://www.cryst.ehu.es/magndata/index.php?this_label=0.91,"0, 0, 0"
0.92CaMn2Sb2,0.92,https://www.cryst.ehu.es/magndata/index.php?this_label=0.92,"0, 0, 0"
0.93Ca2Fe2O5,0.93,https://www.cryst.ehu.es/magndata/index.php?this_label=0.93,"0, 0, 0"
0.94TeNiO3,0.94,https://www.cryst.ehu.es/magndata/index.php?this_label=0.94,"0, 0, 0"
0.95LiFePO4,0.95,https://www.cryst.ehu.es/magndata/index.php?this_label=0.95,"0, 0, 0"
0.96CoSO4,0.96,https://www.cryst.ehu.es/magndata/index.php?this_label=0.96,"0, 0, 0"
0.97FeSb2O4,0.97,https://www.cryst.ehu.es/magndata/index.php?this_label=0.97,"0, 0, 0"
0.98YBaMn2O5.5,0.98,https://www.cryst.ehu.es/magndata/index.php?this_label=0.98,"0, 0, 0"
0.99YBaMn2O5.5,0.99,https://www.cryst.ehu.es/magndata/index.php?this_label=0.99,"0, 0, 0"
0.100YCr0.5Mn0.5O3,0.1,https://www.cryst.ehu.es/magndata/index.php?this_label=0.100,"0, 0, 0"
0.101Mn2GeO4,0.101,https://www.cryst.ehu.es/magndata/index.php?this_label=0.101,"0, 0, 0"
0.102Mn2GeO4,0.102,https://www.cryst.ehu.es/magndata/index.php?this_label=0.102,"0, 0, 0"
0.103Mn2GeO4,0.103,https://www.cryst.ehu.es/magndata/index.php?this_label=0.103,"0, 0, 0"
0.104ErVO3,0.104,https://www.cryst.ehu.es/magndata/index.php?this_label=0.104,"0, 0, 0"
0.105ErVO3,0.105,https://www.cryst.ehu.es/magndata/index.php?this_label=0.105,"0, 0, 0"
0.106DyVO3,0.106,https://www.cryst.ehu.es/magndata/index.php?this_label=0.106,"0, 0, 0"
0.107Ho2Ge2O7,0.107,https://www.cryst.ehu.es/magndata/index.php?this_label=0.107,"0, 0, 0"
0.108Mn3Ir,0.108,https://www.cryst.ehu.es/magndata/index.php?this_label=0.108,"0, 0, 0"
0.109Mn3Pt,0.109,https://www.cryst.ehu.es/magndata/index.php?this_label=0.109,"0, 0, 0"
0.110Cr2O3,0.11,https://www.cryst.ehu.es/magndata/index.php?this_label=0.110,"0, 0, 0"
0.111Co4Nb2O9,0.111,https://www.cryst.ehu.es/magndata/index.php?this_label=0.111,"0, 0, 0"
0.112FeBO3,0.112,https://www.cryst.ehu.es/magndata/index.php?this_label=0.112,"0, 0, 0"
0.113NiCO3,0.113,https://www.cryst.ehu.es/magndata/index.php?this_label=0.113,"0, 0, 0"
0.114CoCO3,0.114,https://www.cryst.ehu.es/magndata/index.php?this_label=0.114,"0, 0, 0"
0.115MnCO3,0.115,https://www.cryst.ehu.es/magndata/index.php?this_label=0.115,"0, 0, 0"
0.116FeCO3,0.116,https://www.cryst.ehu.es/magndata/index.php?this_label=0.116,"0, 0, 0"
0.117LuFeO3,0.117,https://www.cryst.ehu.es/magndata/index.php?this_label=0.117,"0, 0, 0"
0.118Ba5Co5ClO13,0.118,https://www.cryst.ehu.es/magndata/index.php?this_label=0.118,"0, 0, 0"
0.119CoSe2O5,0.119,https://www.cryst.ehu.es/magndata/index.php?this_label=0.119,"0, 0, 0"
0.120LiFe(SO4)2,0.12,https://www.cryst.ehu.es/magndata/index.php?this_label=0.120,"0, 0, 0"
0.121Li2Co(SO4)2,0.121,https://www.cryst.ehu.es/magndata/index.php?this_label=0.121,"0, 0, 0"
0.122Li2Mn(SO4)2,0.122,https://www.cryst.ehu.es/magndata/index.php?this_label=0.122,"0, 0, 0"
0.123Mn3NiN,0.123,https://www.cryst.ehu.es/magndata/index.php?this_label=0.123,"0, 0, 0"
0.124Mn3NiN,0.124,https://www.cryst.ehu.es/magndata/index.php?this_label=0.124,"0, 0, 0"
0.125MnGeO3,0.125,https://www.cryst.ehu.es/magndata/index.php?this_label=0.125,"0, 0, 0"
0.126NpCo2,0.126,https://www.cryst.ehu.es/magndata/index.php?this_label=0.126,"0, 0, 0"
0.127Dy3Al5O12,0.127,https://www.cryst.ehu.es/magndata/index.php?this_label=0.127,"0, 0, 0"
0.128FeSO4F,0.128,https://www.cryst.ehu.es/magndata/index.php?this_label=0.128,"0, 0, 0"
0.129Cu3Mo2O9,0.129,https://www.cryst.ehu.es/magndata/index.php?this_label=0.129,"0, 0, 0"
0.130Cu3Mo2O9,0.13,https://www.cryst.ehu.es/magndata/index.php?this_label=0.130,"0, 0, 0"
0.131Mn(N(CN2))2,0.131,https://www.cryst.ehu.es/magndata/index.php?this_label=0.131,"0, 0, 0"
0.132Fe(N(CN2))2,0.132,https://www.cryst.ehu.es/magndata/index.php?this_label=0.132,"0, 0, 0"
0.133Ni3B7O13Cl,0.133,https://www.cryst.ehu.es/magndata/index.php?this_label=0.133,"0, 0, 0"
0.134Mn3B7O13I,0.134,https://www.cryst.ehu.es/magndata/index.php?this_label=0.134,"0, 0, 0"
0.135Ni3B7O13Br,0.135,https://www.cryst.ehu.es/magndata/index.php?this_label=0.135,"0, 0, 0"
0.136Co3B7O13Br,0.136,https://www.cryst.ehu.es/magndata/index.php?this_label=0.136,"0, 0, 0"
0.137Cu2V2O7,0.137,https://www.cryst.ehu.es/magndata/index.php?this_label=0.137,"0, 0, 0"
0.138BiCrO3,0.138,https://www.cryst.ehu.es/magndata/index.php?this_label=0.138,"0, 0, 0"
0.139BiCrO3,0.139,https://www.cryst.ehu.es/magndata/index.php?this_label=0.139,"0, 0, 0"
0.140LuFe4Ge2,0.14,https://www.cryst.ehu.es/magndata/index.php?this_label=0.140,"0, 0, 0"
0.141Tb5Ge4,0.141,https://www.cryst.ehu.es/magndata/index.php?this_label=0.141,"0, 0, 0"
0.142Fe2TeO6,0.142,https://www.cryst.ehu.es/magndata/index.php?this_label=0.142,"0, 0, 0"
0.143Cr2TeO6,0.143,https://www.cryst.ehu.es/magndata/index.php?this_label=0.143,"0, 0, 0"
0.144Cr2WO6,0.144,https://www.cryst.ehu.es/magndata/index.php?this_label=0.144,"0, 0, 0"
0.145Co3TeO6,0.145,https://www.cryst.ehu.es/magndata/index.php?this_label=0.145,"0, 0, 0"
0.146EuZrO3,0.146,https://www.cryst.ehu.es/magndata/index.php?this_label=0.146,"0, 0, 0"
0.147EuZrO3,0.147,https://www.cryst.ehu.es/magndata/index.php?this_label=0.147,"0, 0, 0"
0.148La2LiRuO6,0.148,https://www.cryst.ehu.es/magndata/index.php?this_label=0.148,"0, 0, 0"
0.149Nd3Ru4Al12,0.149,https://www.cryst.ehu.es/magndata/index.php?this_label=0.149,"0, 0, 0"
0.150NiS2,0.15,https://www.cryst.ehu.es/magndata/index.php?this_label=0.150,"0, 0, 0"
0.151Tm2Mn2O7,0.151,https://www.cryst.ehu.es/magndata/index.php?this_label=0.151,"0, 0, 0"
0.152LiFePO4,0.152,https://www.cryst.ehu.es/magndata/index.php?this_label=0.152,"0, 0, 0"
0.153Bi2RuMnO7,0.153,https://www.cryst.ehu.es/magndata/index.php?this_label=0.153,"0, 0, 0"
0.154Er2Ru2O7,0.154,https://www.cryst.ehu.es/magndata/index.php?this_label=0.154,"0, 0, 0"
0.155CaMnGe2O6,0.155,https://www.cryst.ehu.es/magndata/index.php?this_label=0.155,"0, 0, 0"
0.156CaMnGe2O6,0.156,https://www.cryst.ehu.es/magndata/index.php?this_label=0.156,"0, 0, 0"
0.157Yb2Sn2O7,0.157,https://www.cryst.ehu.es/magndata/index.php?this_label=0.157,"0, 0, 0"
0.158Yb2Ti2O7,0.158,https://www.cryst.ehu.es/magndata/index.php?this_label=0.158,"0, 0, 0"
0.159DyCoO3,0.159,https://www.cryst.ehu.es/magndata/index.php?this_label=0.159,"0, 0, 0"
0.160TbCoO3,0.16,https://www.cryst.ehu.es/magndata/index.php?this_label=0.160,"0, 0, 0"
0.161CoSe2O5,0.161,https://www.cryst.ehu.es/magndata/index.php?this_label=0.161,"0, 0, 0"
0.162NdCrTiO5,0.162,https://www.cryst.ehu.es/magndata/index.php?this_label=0.162,"0, 0, 0"
0.163MnPS3,0.163,https://www.cryst.ehu.es/magndata/index.php?this_label=0.163,"0, 0, 0"
0.164Y2MnCoO6,0.164,https://www.cryst.ehu.es/magndata/index.php?this_label=0.164,"0, 0, 0"
0.165SrMn(VO4)(OH),0.165,https://www.cryst.ehu.es/magndata/index.php?this_label=0.165,"0, 0, 0"
0.166Ce2PdGe3,0.166,https://www.cryst.ehu.es/magndata/index.php?this_label=0.166,"0, 0, 0"
0.167Nd3Sb3Mg2O14,0.167,https://www.cryst.ehu.es/magndata/index.php?this_label=0.167,"0, 0, 0"
0.168NH4Fe2F6,0.168,https://www.cryst.ehu.es/magndata/index.php?this_label=0.168,"0, 0, 0"
0.169U3As4,0.169,https://www.cryst.ehu.es/magndata/index.php?this_label=0.169,"0, 0, 0"
0.170U3P4,0.17,https://www.cryst.ehu.es/magndata/index.php?this_label=0.170,"0, 0, 0"
0.171DyScO3,0.171,https://www.cryst.ehu.es/magndata/index.php?this_label=0.171,"0, 0, 0"
0.172Y3Co3.25Al0.75,0.172,https://www.cryst.ehu.es/magndata/index.php?this_label=0.172,"0, 0, 0"
0.173Pr3Ru4Al12,0.173,https://www.cryst.ehu.es/magndata/index.php?this_label=0.173,"0, 0, 0"
0.174Pr3Ru4Al12,0.174,https://www.cryst.ehu.es/magndata/index.php?this_label=0.174,"0, 0, 0"
0.175Ca2CoSi2O7,0.175,https://www.cryst.ehu.es/magndata/index.php?this_label=0.175,"0, 0, 0"
0.176Mn3Ti2Te6,0.176,https://www.cryst.ehu.es/magndata/index.php?this_label=0.176,"0, 0, 0"
0.177Mn3GaN,0.177,https://www.cryst.ehu.es/magndata/index.php?this_label=0.177,"0, 0, 0"
0.178CoF2,0.178,https://www.cryst.ehu.es/magndata/index.php?this_label=0.178,"0, 0, 0"
0.179FeCl5D2O(ND4)2,0.179,https://www.cryst.ehu.es/magndata/index.php?this_label=0.179,"0, 0, 0"
0.180MnPSe3,0.18,https://www.cryst.ehu.es/magndata/index.php?this_label=0.180,"0, 0, 0"
0.181Nd15Ge9C0.39,0.181,https://www.cryst.ehu.es/magndata/index.php?this_label=0.181,"0, 0, 0"
0.182KCrF4,0.182,https://www.cryst.ehu.es/magndata/index.php?this_label=0.182,"0, 0, 0"
0.183KMnFeF6,0.183,https://www.cryst.ehu.es/magndata/index.php?this_label=0.183,"0, 0, 0"
0.184Nd5Si4,0.184,https://www.cryst.ehu.es/magndata/index.php?this_label=0.184,"0, 0, 0"
0.185Nd5Ge4,0.185,https://www.cryst.ehu.es/magndata/index.php?this_label=0.185,"0, 0, 0"
0.186CeMnAsO,0.186,https://www.cryst.ehu.es/magndata/index.php?this_label=0.186,"0, 0, 0"
0.187CeMnAsO,0.187,https://www.cryst.ehu.es/magndata/index.php?this_label=0.187,"0, 0, 0"
0.188CeMnAsO,0.188,https://www.cryst.ehu.es/magndata/index.php?this_label=0.188,"0, 0, 0"
0.189CeMn2Ge4O12,0.189,https://www.cryst.ehu.es/magndata/index.php?this_label=0.189,"0, 0, 0"
0.190CeMnCoGe4O12,0.19,https://www.cryst.ehu.es/magndata/index.php?this_label=0.190,"0, 0, 0"
0.191BaCuF4,0.191,https://www.cryst.ehu.es/magndata/index.php?this_label=0.191,"0, 0, 0"
0.192RbFe2F6,0.192,https://www.cryst.ehu.es/magndata/index.php?this_label=0.192,"0, 0, 0"
0.193LiCoPO4,0.193,https://www.cryst.ehu.es/magndata/index.php?this_label=0.193,"0, 0, 0"
0.194UPt2Si2,0.194,https://www.cryst.ehu.es/magndata/index.php?this_label=0.194,"0, 0, 0"
0.195Sr2Ir0.92Sn0.08O4,0.195,https://www.cryst.ehu.es/magndata/index.php?this_label=0.195,"0, 0, 0"
0.196Co4Nb2O9,0.196,https://www.cryst.ehu.es/magndata/index.php?this_label=0.196,"0, 0, 0"
0.197Co4Nb2O9,0.197,https://www.cryst.ehu.es/magndata/index.php?this_label=0.197,"0, 0, 0"
0.198GdVO4,0.198,https://www.cryst.ehu.es/magndata/index.php?this_label=0.198,"0, 0, 0"
0.199Mn3Sn,0.199,https://www.cryst.ehu.es/magndata/index.php?this_label=0.199,"0, 0, 0"
0.200Mn3Sn,0.2,https://www.cryst.ehu.es/magndata/index.php?this_label=0.200,"0, 0, 0"
0.201Ca2PrCr2NbO9,0.201,https://www.cryst.ehu.es/magndata/index.php?this_label=0.201,"0, 0, 0"
0.202Ca2PrCr2TaO9,0.202,https://www.cryst.ehu.es/magndata/index.php?this_label=0.202,"0, 0, 0"
0.203Mn3Ge,0.203,https://www.cryst.ehu.es/magndata/index.php?this_label=0.203,"0, 0, 0"
0.204Ca2MnReO6,0.204,https://www.cryst.ehu.es/magndata/index.php?this_label=0.204,"0, 0, 0"
0.205Sr2MnReO6,0.205,https://www.cryst.ehu.es/magndata/index.php?this_label=0.205,"0, 0, 0"
0.206Ca2Fe0.875Cr0.125GaO5,0.206,https://www.cryst.ehu.es/magndata/index.php?this_label=0.206,"0, 0, 0"
0.207TlFe1.6Se2,0.207,https://www.cryst.ehu.es/magndata/index.php?this_label=0.207,"0, 0, 0"
0.208TlFe1.6Se2,0.208,https://www.cryst.ehu.es/magndata/index.php?this_label=0.208,"0, 0, 0"
0.209TlFe1.6Se2,0.209,https://www.cryst.ehu.es/magndata/index.php?this_label=0.209,"0, 0, 0"
0.210Sr2CoOsO6,0.21,https://www.cryst.ehu.es/magndata/index.php?this_label=0.210,"0, 0, 0"
0.211Ca2MnO4,0.211,https://www.cryst.ehu.es/magndata/index.php?this_label=0.211,"0, 0, 0"
0.212Sr2Mn3As2O2,0.212,https://www.cryst.ehu.es/magndata/index.php?this_label=0.212,"0, 0, 0"
0.213Sr2Mn2CuAs2O2,0.213,https://www.cryst.ehu.es/magndata/index.php?this_label=0.213,"0, 0, 0"
0.214FePbBiO4,0.214,https://www.cryst.ehu.es/magndata/index.php?this_label=0.214,"0, 0, 0"
0.215BaNi2P2O8,0.215,https://www.cryst.ehu.es/magndata/index.php?this_label=0.215,"0, 0, 0"
0.216SrEr2O4,0.216,https://www.cryst.ehu.es/magndata/index.php?this_label=0.216,"0, 0, 0"
0.217LiCrGe2O6,0.217,https://www.cryst.ehu.es/magndata/index.php?this_label=0.217,"0, 0, 0"
0.218Co2SiO4,0.218,https://www.cryst.ehu.es/magndata/index.php?this_label=0.218,"0, 0, 0"
0.219Co2SiO4,0.219,https://www.cryst.ehu.es/magndata/index.php?this_label=0.219,"0, 0, 0"
0.220Mn2SiO4,0.22,https://www.cryst.ehu.es/magndata/index.php?this_label=0.220,"0, 0, 0"
0.221Fe2SiO4,0.221,https://www.cryst.ehu.es/magndata/index.php?this_label=0.221,"0, 0, 0"
0.222CuMnAs,0.222,https://www.cryst.ehu.es/magndata/index.php?this_label=0.222,"0, 0, 0"
0.223Cu0.95MnAs,0.223,https://www.cryst.ehu.es/magndata/index.php?this_label=0.223,"0, 0, 0"
0.224Nd0.5Tb0.5Co2,0.224,https://www.cryst.ehu.es/magndata/index.php?this_label=0.224,"0, 0, 0"
0.225Nd0.5Tb0.5Co2,0.225,https://www.cryst.ehu.es/magndata/index.php?this_label=0.225,"0, 0, 0"
